SSID,Signal(dBm),Timestamp,Location,Scan_ID,Run
NTUST-UAM,-90,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-80,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-71,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-67,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-65,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-56,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-46,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-89,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-86,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-75,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-68,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-47,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-56,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
eduroam,-98,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
eduroam,-89,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
eduroam,-84,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
eduroam,-80,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
eduroam,-74,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
eduroam,-56,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
eduroam,-46,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
IB812_5G,-97,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
GIDLE401-1_5G,-96,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
IB-9F,-96,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
RB501,-95,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
DIRECT-42-HP M227f LaserJet,-93,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
810-2_5G,-92,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-90,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-80,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-71,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-67,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-65,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-56,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-UAM,-46,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
BBA-1028,-89,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-89,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-86,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-75,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-68,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-47,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
NTUST-PEAP,-56,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
å²,-86,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
general_7006,-83,2025-11-05 09:56:02,LaptopPriority/CurrentPeriodicals,0,1
