Scan_ID,Location,Run,ASUS,BBA-1028,CI3D,CI3D_5G,ConnLab,ConnLab-Guest,IB-9F,Library-Office,MUTEC,NTUST-PEAP,NTUST-UAM,RB501,ROOM-810_ç°æ§,TR-1021_5G,Yie & Esther,Yie Office,eduroam
0,Hallway/LeftEnd,1,-100.0,-100.0,-85.0,-100.0,-59.0,-60.0,-100.0,-59.0,-100.0,-77.66666666666667,-81.0,-100.0,-100.0,-100.0,-100.0,-100.0,-86.5
0,Hallway/LeftEnd,2,-100.0,-100.0,-100.0,-100.0,-62.0,-70.5,-100.0,-62.0,-100.0,-75.16666666666667,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0
0,Hallway/LeftEnd,3,-100.0,-100.0,-100.0,-95.0,-60.5,-61.0,-100.0,-62.0,-100.0,-68.57142857142857,-72.11111111111111,-100.0,-100.0,-100.0,-100.0,-100.0,-72.625
0,Hallway/LeftEnd,4,-100.0,-100.0,-100.0,-100.0,-71.0,-70.5,-100.0,-71.5,-100.0,-76.25,-76.7,-100.0,-100.0,-100.0,-98.0,-100.0,-78.11111111111111
0,Hallway/LeftEnd,5,-100.0,-100.0,-100.0,-100.0,-62.5,-64.5,-100.0,-65.5,-100.0,-81.16666666666667,-84.58333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-87.92857142857143
0,LaptopPriority/CurrentPeriodicals,1,-100.0,-89.0,-100.0,-100.0,-100.0,-100.0,-96.0,-100.0,-100.0,-70.16666666666667,-67.85714285714286,-95.0,-100.0,-100.0,-100.0,-100.0,-75.28571428571429
0,LaptopPriority/CurrentPeriodicals,2,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.2,-72.5,-100.0,-100.0,-100.0,-100.0,-100.0,-76.14285714285714
0,LaptopPriority/CurrentPeriodicals,3,-78.0,-100.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-74.16666666666667,-75.83333333333333,-95.0,-89.0,-100.0,-100.0,-100.0,-78.57142857142857
0,LaptopPriority/CurrentPeriodicals,4,-100.0,-100.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-64.85714285714286,-66.75,-93.0,-100.0,-100.0,-100.0,-100.0,-70.125
0,LaptopPriority/CurrentPeriodicals,5,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-66.28571428571429,-66.875,-87.0,-100.0,-100.0,-100.0,-100.0,-66.42857142857143
0,MainStairs/TopPicks,1,-100.0,-100.0,-100.0,-88.0,-89.0,-90.0,-100.0,-89.0,-100.0,-67.54545454545455,-72.27272727272727,-100.0,-90.0,-100.0,-100.0,-100.0,-72.0
0,MainStairs/TopPicks,2,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-73.8,-74.11111111111111,-100.0,-100.0,-100.0,-100.0,-96.0,-74.81818181818181
0,MainStairs/TopPicks,3,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-94.0,-100.0,-100.0,-72.14285714285714,-78.11111111111111,-100.0,-91.0,-100.0,-100.0,-100.0,-80.5
0,MainStairs/TopPicks,4,-100.0,-95.0,-100.0,-74.0,-81.0,-100.0,-97.0,-100.0,-100.0,-69.75,-76.77777777777777,-100.0,-84.0,-100.0,-90.0,-90.0,-75.88888888888889
0,MainStairs/TopPicks,5,-100.0,-100.0,-100.0,-100.0,-89.0,-79.0,-100.0,-88.0,-100.0,-71.0,-79.45454545454545,-100.0,-100.0,-100.0,-100.0,-100.0,-77.66666666666667
0,Stairs/RightEnd,1,-100.0,-100.0,-100.0,-100.0,-81.5,-73.0,-100.0,-79.0,-100.0,-77.63636363636364,-78.81818181818181,-100.0,-100.0,-100.0,-100.0,-100.0,-81.9
0,Stairs/RightEnd,2,-100.0,-100.0,-100.0,-100.0,-82.0,-81.0,-100.0,-84.0,-100.0,-81.72727272727273,-81.6,-100.0,-100.0,-100.0,-100.0,-100.0,-80.55555555555556
0,Stairs/RightEnd,3,-100.0,-100.0,-100.0,-100.0,-83.5,-84.5,-100.0,-85.0,-100.0,-77.83333333333333,-81.36363636363636,-100.0,-100.0,-100.0,-100.0,-100.0,-80.2
0,Stairs/RightEnd,4,-93.0,-93.0,-79.0,-100.0,-78.0,-86.0,-100.0,-86.0,-100.0,-82.0625,-83.15,-100.0,-100.0,-100.0,-88.0,-85.5,-83.72222222222223
0,Stairs/RightEnd,5,-92.0,-100.0,-100.0,-100.0,-100.0,-91.0,-100.0,-100.0,-100.0,-86.25,-88.57142857142857,-100.0,-100.0,-100.0,-100.0,-100.0,-88.14285714285714
0,TopPicks/Audiovisual,1,-100.0,-100.0,-100.0,-100.0,-67.0,-70.5,-100.0,-67.0,-100.0,-72.85714285714286,-73.42857142857143,-100.0,-100.0,-100.0,-100.0,-100.0,-71.42857142857143
0,TopPicks/Audiovisual,2,-100.0,-100.0,-100.0,-100.0,-78.0,-78.0,-100.0,-78.0,-100.0,-74.85714285714286,-74.33333333333333,-100.0,-100.0,-100.0,-100.0,-100.0,-77.625
0,TopPicks/Audiovisual,3,-100.0,-100.0,-100.0,-100.0,-84.0,-84.0,-100.0,-85.0,-100.0,-71.16666666666667,-80.18181818181819,-100.0,-89.0,-100.0,-100.0,-100.0,-81.5
0,TopPicks/Audiovisual,4,-100.0,-100.0,-100.0,-100.0,-84.0,-83.0,-100.0,-84.0,-100.0,-68.88888888888889,-72.0,-100.0,-86.0,-100.0,-100.0,-100.0,-70.71428571428571
0,TopPicks/Audiovisual,5,-100.0,-100.0,-71.0,-89.0,-85.0,-85.0,-91.0,-85.0,-100.0,-66.77777777777777,-68.0909090909091,-100.0,-100.0,-100.0,-96.0,-96.0,-68.9
1,Hallway/LeftEnd,1,-69.0,-100.0,-85.0,-100.0,-61.0,-59.5,-100.0,-60.0,-100.0,-78.75,-83.77777777777777,-100.0,-100.0,-100.0,-100.0,-100.0,-84.72727272727273
1,Hallway/LeftEnd,2,-100.0,-100.0,-100.0,-100.0,-63.0,-70.0,-100.0,-62.0,-100.0,-75.33333333333333,-77.125,-100.0,-100.0,-100.0,-100.0,-100.0,-78.0909090909091
1,Hallway/LeftEnd,3,-100.0,-100.0,-100.0,-95.0,-60.0,-61.0,-100.0,-61.0,-100.0,-76.55555555555556,-76.66666666666667,-100.0,-100.0,-100.0,-100.0,-100.0,-76.1
1,Hallway/LeftEnd,4,-100.0,-100.0,-100.0,-100.0,-75.5,-74.5,-100.0,-75.0,-100.0,-78.0,-76.84615384615384,-100.0,-100.0,-100.0,-98.0,-100.0,-78.0
1,Hallway/LeftEnd,5,-100.0,-100.0,-100.0,-100.0,-62.5,-64.5,-100.0,-65.5,-100.0,-80.38461538461539,-83.15384615384616,-100.0,-100.0,-100.0,-100.0,-100.0,-86.71428571428571
1,LaptopPriority/CurrentPeriodicals,1,-83.0,-89.0,-83.0,-100.0,-100.0,-100.0,-96.0,-100.0,-87.0,-72.88888888888889,-72.36363636363636,-95.0,-100.0,-100.0,-85.0,-85.0,-76.25
1,LaptopPriority/CurrentPeriodicals,2,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-72.0,-79.125,-100.0,-100.0,-100.0,-100.0,-100.0,-83.27272727272727
1,LaptopPriority/CurrentPeriodicals,3,-73.0,-100.0,-100.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-73.07692307692308,-70.91666666666667,-94.0,-89.0,-96.0,-100.0,-100.0,-76.53846153846153
1,LaptopPriority/CurrentPeriodicals,4,-100.0,-89.0,-72.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-67.42857142857143,-68.0,-93.0,-95.0,-100.0,-71.0,-87.0,-70.11111111111111
1,LaptopPriority/CurrentPeriodicals,5,-100.0,-100.0,-100.0,-85.0,-100.0,-100.0,-100.0,-100.0,-100.0,-69.77777777777777,-69.22222222222223,-87.0,-100.0,-84.0,-88.0,-100.0,-71.0
1,MainStairs/TopPicks,1,-100.0,-100.0,-100.0,-88.0,-90.0,-89.0,-100.0,-89.0,-100.0,-68.72727272727273,-77.3076923076923,-100.0,-93.0,-100.0,-100.0,-100.0,-77.15384615384616
1,MainStairs/TopPicks,2,-84.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-74.08333333333333,-74.5,-93.0,-100.0,-100.0,-100.0,-96.0,-78.07692307692308
